employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate,employer_clean,top_roles,median_salary_all,total_lca_filings,role_category
BARCLAYS SERVICES LLC,666,7,5,2023,NY,NEW YORK,97.9,673,0.99,BARCLAYS SERVICES LLC,"Software Engineer, Data Engineer, Sas Senior Analyst, Full Stack Engineer, Back End Engineer",135000.0,27.0,Software & IT
UNIVERSITY OF CALIFORNIA BERKELEY,639,6,5,2023,CA,BERKELEY,97.9,645,0.991,,,,,
COMPUNNEL SOFTWARE GROUP INC,6543,248,5,2023,NJ,PLAINSBORO,97.8,6791,0.963,,,,,
DISCOVER PRODUCTS INC,784,19,5,2023,IL,DEERFIELD,97.8,803,0.976,,,,,
UNIVERSITY OF MINNESOTA,676,10,5,2023,MN,MINNEAPOLIS,97.8,686,0.985,UNIVERSITY OF MINNESOTA,"Assistant Professor, Postdoctoral Associate, Researcher 6, Researcher 5, Post-Doctoral Associate",73320.0,65.0,Education
ABBVIE INC,732,14,5,2023,IL,NORTH CHICAGO,97.8,746,0.981,,,,,
GOLDMAN SACHS BANK USA,698,11,5,2023,NJ,JERSEY CITY,97.8,709,0.984,GOLDMAN SACHS BANK USA,"Vice President, Associate, Analyst, Vice President , Associate ",156000.0,38.0,Software & IT
PURE STORAGE INC,591,3,5,2023,CA,MOUNTAIN VIEW,97.8,594,0.995,,,,,
MUFG UNION BANK NA,736,14,5,2023,NY,NEW YORK,97.8,750,0.981,,,,,
ANALOG DEVICES INC,623,6,5,2023,MA,WILMINGTON,97.8,629,0.99,ANALOG DEVICES INC,"Staff Engineer, Software Development Eng, Manager, Product Applications, Staff Engineer, Product Applications, Senior Manager, Product Engineering",142988.0,5.0,Engineering
SAP AMERICA INC,1501,60,5,2023,PA,NEWTOWN SQUARE,97.7,1561,0.962,,,,,
INTUITIVE SURGICAL OPERATIONS INC,698,12,5,2023,CA,SUNNYVALE,97.7,710,0.983,,,,,
FORTINET INC,777,19,5,2023,CA,SUNNYVALE,97.7,796,0.976,,,,,
INDEED INC,823,24,5,2023,TX,AUSTIN,97.7,847,0.972,,,,,
TEXAS INSTRUMENTS INCORPORATED,728,15,5,2023,TX,DALLAS,97.7,743,0.98,TEXAS INSTRUMENTS INCORPORATED,"Analog Design Engineer, Design Verification Engineer, Process Development Engineer, Digital Design Engineer, Applications Engineer",126500.0,52.0,Engineering
RANDSTAD TECHNOLOGIES LLC,3924,159,5,2023,MA,WOBURN,97.7,4083,0.961,,,,,
HUMANA INC,654,9,5,2023,KY,LOUISVILLE,97.7,663,0.986,HUMANA INC,"Physical Therapist 2-Sp, Solutions Architect",137000.0,2.0,Healthcare
DELL PRODUCTS L P,782,20,5,2023,TX,ROUND ROCK,97.7,802,0.975,,,,,
EPAM SYSTEMS INC,1596,64,5,2023,PA,NEWTOWN,97.7,1660,0.961,,,,,
SIRIUS XM RADIO INC,549,2,5,2023,NY,NEW YORK,97.6,551,0.996,,,,,
STARBUCKS COFFEE COMPANY,639,9,5,2023,WA,SEATTLE,97.6,648,0.986,STARBUCKS COFFEE COMPANY,"Systems Analyst, Product Manager, Security Engineer, Technology Manager - Kbgfjg254760-1, Program Manager",151365.0,40.0,Software & IT
DEERE AND COMPANY,574,4,5,2023,IL,MOLINE,97.6,578,0.993,,,,,
ZOOX INC,581,5,5,2023,CA,SAN MATEO,97.6,586,0.991,,,,,
THE UNIVERSITY OF IOWA,776,21,5,2023,IA,IOWA CITY,97.6,797,0.974,THE UNIVERSITY OF IOWA,"Research Scientist, Postdoctoral Research Scholar, Clinical Assistant Professor, Behavioral Health Coordinator, Research Assistant",68497.0,46.0,Data & Research
BAYLOR COLLEGE OF MEDICINE,691,13,5,2023,TX,HOUSTON,97.6,704,0.982,BAYLOR COLLEGE OF MEDICINE,"Postdoctoral Associate/Fellow, Research Associate, Instructor, Research Assistant I, Assistant Professor",63426.0,28.0,Data & Research
ITECH US INC,607,7,5,2023,VT,SOUTH BURLINGTON,97.6,614,0.989,,,,,
