employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate,employer_clean,top_roles,median_salary_all,total_lca_filings,role_category
RETAIL SERVICES AND SYSTEMS INC DBA TOTAL WINE & MORE,19,0,2,2023,MD,BETHESDA,76.8,19,1.0,,,,,
UNICON SYSTEMS INC,19,0,2,2023,TX,FARMERS BRANCH,76.8,19,1.0,UNICON SYSTEMS INC,"DevOps Engineer, Software Engineer",96335.0,2.0,Software & IT
INDIANA UNIVERSITY HEALTH BALL MEM,19,0,2,2021,IN,MUNCIE,76.8,19,1.0,,,,,
J CREW GROUP INC,19,0,2,2020,NY,NEW YORK,76.8,19,1.0,,,,,
GATEWAY HEALTH LLC,19,0,2,2022,PA,PITTSBURGH,76.8,19,1.0,,,,,
QUESTPAY INC DBA V2 TECHNOLOGIES INC,19,0,2,2023,NJ,NORTH BRUNSWICK,76.8,19,1.0,,,,,
SIRIUS COMPUTER SOLUTIONS LLC,19,0,2,2023,TX,SAN ANTONIO,76.8,19,1.0,,,,,
ARRIS ENTERPRISES LLC,27,4,4,2023,CA,SUWANEE,76.8,31,0.871,ARRIS ENTERPRISES LLC,"Sr. Staff It Business Sys Analyst, Staff It Software Specialist",116391.0,2.0,Software & IT
SKYTEK CORP,32,3,3,2023,NC,MORRISVILLE,76.8,35,0.914,,,,,
ALEGENT HEALTH BERGAN MERCY HEALTH,19,0,2,2023,NE,OMAHA,76.8,19,1.0,,,,,
TEACHERS INSURANCE AND ANNUITY ASS,19,0,2,2022,TX,LEWISVILLE,76.8,19,1.0,,,,,
MERCY CLINICS INC,19,0,2,2020,IA,DES MOINES,76.8,19,1.0,,,,,
PLATINUM INFOSYS INC,30,7,5,2023,TX,IRVING,76.8,37,0.811,PLATINUM INFOSYS INC,Software Engineer,101192.0,11.0,Software & IT
SUMTOTAL SYSTEMS LLC,32,3,3,2021,NH,NASHUA,76.8,35,0.914,,,,,
APPSTREAM TECHNOLOGIES LLC,43,5,3,2023,SC,ROCK HILL,76.8,48,0.896,APPSTREAM TECHNOLOGIES LLC,Computer Systems Engineer,82000.0,1.0,Software & IT
AUTOMOTIVE RENTALS INC DBA,19,0,2,2021,NJ,MOUNT LAUREL,76.8,19,1.0,,,,,
MEIJER GREAT LAKES LTD PARTNERSHIP,19,0,2,2022,MI,GRAND RAPIDS,76.8,19,1.0,,,,,
OKG USA TECHNOLOGY INC,19,0,2,2023,CA,SAN JOSE,76.8,19,1.0,OKG USA TECHNOLOGY INC,"Engineer Ii, Content Designer",169020.0,2.0,Design & Media
KOHLBERG KRAVIS ROBERTS & CO LP,19,0,2,2021,NY,NEW YORK,76.8,19,1.0,,,,,
CONTINENTAL AUTONOMOUS MOBILITY US LLC,31,1,2,2023,MI,AUBURN HILLS,76.8,32,0.969,,,,,
ZENITH SOFTWARE INC,27,4,4,2022,NH,NASHUA,76.8,31,0.871,,,,,
XPO NAT SOLUTIONS LLC,19,0,2,2023,NC,CHARLOTTE,76.8,19,1.0,,,,,
COMMUNITY HOSPITALIST MEDICAL GRP,19,0,2,2021,CA,FRESNO,76.8,19,1.0,,,,,
PROARCH TECHNOLOGIES INC FORMERLY PROARCH IT SOLUTIONS INC,19,0,2,2023,GA,ATLANTA,76.8,19,1.0,,,,,
NURIX THERAPEUTICS INC,19,0,2,2022,CA,SAN FRANCISCO,76.8,19,1.0,,,,,
PROGRESS SOLUTIONS INC,30,7,5,2023,TX,FRISCO,76.8,37,0.811,PROGRESS SOLUTIONS INC,"Software Engineer, Business Intelligence Analysts, Power Bi Developer",97968.0,3.0,Software & IT
AGENCY WITHIN LLC,27,4,4,2022,NY,LONG ISLAND CITY,76.8,31,0.871,,,,,
NTT DATA BUSINESS SOLUTIONS INC,31,1,2,2023,OH,CINCINNATI,76.8,32,0.969,,,,,
IKONIC SOFT INC,19,0,2,2023,MN,SAINT PAUL,76.8,19,1.0,,,,,
UNIVERSITY OF NEVADA LAS VEGAS,19,0,2,2022,NV,LAS VEGAS,76.8,19,1.0,,,,,
INNIVE INC,33,8,5,2023,FL,TAMPA,76.8,41,0.805,,,,,
EISNER ADVISORY GROUP LLC,19,0,2,2023,NY,NEW YORK,76.8,19,1.0,EISNER ADVISORY GROUP LLC,Audit Manager,140595.0,2.0,Finance & Business
XEN INFOTECH LLC,27,4,4,2022,VA,CHANTILLY,76.8,31,0.871,,,,,
YAI NATL INST FOR PEOPLE WITH DISA,19,0,2,2021,NY,NEW YORK,76.8,19,1.0,,,,,
VINTAGE HEALTH RESOURCES LLC,19,0,2,2023,TN,GERMANTOWN,76.8,19,1.0,,,,,
LSU HLTH SCIENCES CTR AT SHREVEPOR,44,0,1,2020,LA,SHREVEPORT,76.8,44,1.0,,,,,
NYBBLE TEKSOLUTIONS INC,30,7,5,2023,IA,WEST DES MOINES,76.8,37,0.811,,,,,
IU HEALTH CARE ASSOC DBA IU HEALTH PHYSICIANS,55,4,2,2023,IN,INDIANAPOLIS,76.7,59,0.932,,,,,
INSPUR SYSTEMS INC,8,1,5,2023,CA,FREMONT,76.7,9,0.889,,,,,
AKRON GENERICS LLC,8,1,5,2023,NY,COMMACK,76.7,9,0.889,,,,,
GP STRATEGIES CORPORATION,18,1,3,2023,MD,COLUMBIA,76.7,19,0.947,,,,,
BIG ARCHITECTURE DPC,18,0,2,2022,NY,BROOKLYN,76.7,18,1.0,,,,,
PENN STATE MILTON S HERSHEY MEDICAL CENTER,18,0,2,2023,PA,HERSHEY,76.7,18,1.0,,,,,
ROCKWELL ARCHITECTURE PLANNING AND DESIGN PC,18,0,2,2023,NY,NEW YORK,76.7,18,1.0,,,,,
WINTEL TECHNOLOGIES LLC,18,0,2,2023,TX,SUGAR LAND,76.7,18,1.0,,,,,
ASHATEK LLC,18,0,2,2023,KS,OVERLAND PARK,76.7,18,1.0,ASHATEK LLC,"Software Engineer, Database Administrator, Java  Developer, Aws Cloud Administrator And Ms Sql Dba, Application Development Analyst",101192.0,12.0,Software & IT
METRO CARE STAFFING INC,8,1,5,2023,NY,BROOKLYN,76.7,9,0.889,,,,,
FIRST AMERICAN TITLE INSURANCE COM,18,0,2,2022,CA,SANTA ANA,76.7,18,1.0,,,,,
NTT DATA FEDHEALTH INC,18,0,2,2023,TX,PLANO,76.7,18,1.0,,,,,
SUMTER COUNTY SCHOOL SYSTEM,18,1,3,2021,GA,AMERICUS,76.7,19,0.947,SUMTER COUNTY SCHOOL SYSTEM,Director Of Special Programs,68000.0,1.0,Management
FUGE TECHNOLOGIES INC,18,1,3,2023,TX,IRVING,76.7,19,0.947,,,,,
LILAC SOLUTIONS INC,8,1,5,2023,CA,OAKLAND,76.7,9,0.889,,,,,
BAE SYSTEMS TECH SOLNS & SVCS INC,18,1,3,2022,VA,MC LEAN,76.7,19,0.947,,,,,
RST SOLUTIONS INC,54,16,5,2023,PA,CHALFONT,76.7,70,0.771,,,,,
AARISHA INC,8,1,5,2023,VA,RESTON,76.7,9,0.889,,,,,
TECHMORGONITE SOFTWARE SOLNS LLC,18,0,2,2022,MA,LAWRENCE,76.7,18,1.0,,,,,
B2B TECHNOLOGY INC,8,1,5,2023,MN,MINNEAPOLIS,76.7,9,0.889,,,,,
MESHARE INC,8,1,5,2023,IL,CHAMPAIGN,76.7,9,0.889,,,,,
PROFUSION SYSTEMS INC DBA STAFFING FRONT INC,18,0,2,2023,NJ,NORTH BRUNSWICK,76.7,18,1.0,,,,,
SYMSOFT SOLUTIONS LLC,8,1,5,2023,CA,SACRAMENTO,76.7,9,0.889,,,,,
TEKWISSEN LLC,49,14,5,2023,MI,ANN ARBOR,76.7,63,0.778,,,,,
ANJU SOFTWARE INC FORMERLY KNOWN A,18,0,2,2021,AZ,TEMPE,76.7,18,1.0,,,,,
E & J GALLO WINERY,18,1,3,2022,CA,MODESTO,76.7,19,0.947,E & J GALLO WINERY,"Data Scientist, Research Scientist",95800.0,2.0,Data & Research
NEXGEN TECHNOLOGIES INC,8,1,5,2023,CO,DENVER,76.7,9,0.889,,,,,
BUSINESS ADVANTAGE CONSULTING INC,18,0,2,2022,CA,GOLD RIVER,76.7,18,1.0,,,,,
RESOURCE INNOVATIONS INC,18,0,2,2023,CA,HALF MOON BAY,76.7,18,1.0,,,,,
WORLD WIDE TECHNOLOGY HOLDING COMPANY LLC,43,0,1,2022,MO,SAINT LOUIS,76.7,43,1.0,,,,,
GOTO TECHNOLOGIES USA INC,18,0,2,2023,MA,BOSTON,76.7,18,1.0,,,,,
THE UNIVERSITY OF TENNESSEE,43,0,1,2021,TN,CHATTANOOGA,76.7,43,1.0,THE UNIVERSITY OF TENNESSEE,"Post-Doctoral Research Associate, Research Assistant Professor, Lecturer, Clinical Instructor Of Community Practic, Associate Professor",62499.0,19.0,Data & Research
AEGIS SERVICE CORP,8,1,5,2023,NY,FLUSHING,76.7,9,0.889,,,,,
MYLAN PHARMACEUTICALS INC,18,1,3,2021,WV,MORGANTOWN,76.7,19,0.947,,,,,
WSU VETERINARY CLINICAL SCIENCES,43,0,1,2020,WA,PULLMAN,76.7,43,1.0,,,,,
FRESENIUS USA INC A FRESENIUS MEDICAL CARE NA COMPANY,18,0,2,2023,MA,WALTHAM,76.7,18,1.0,,,,,
SMITHGROUPJJR INC SUBSIDIARY SMITH,43,0,1,2019,MI,DETROIT,76.7,43,1.0,,,,,
PILGRIMS PRIDE CORPORATION,18,1,3,2022,CO,GREELEY,76.7,19,0.947,,,,,
CRE8TECH LABS INC,8,1,5,2023,CA,PASADENA,76.7,9,0.889,,,,,
UNIV HLTH PHYSICIANS F/K/A UNIV PH,18,0,2,2021,MO,KANSAS CITY,76.7,18,1.0,,,,,
SYSPRO IT SOLUTIONS INC,18,1,3,2023,GA,DULUTH,76.7,19,0.947,SYSPRO IT SOLUTIONS INC,"Software Engineer, Sap Senior Functional Analyst, Solutions Architect, Senior Rpa Developer",102000.0,5.0,Software & IT
ANCHOR GLASS CONTAINER CORPORATION,18,1,3,2023,FL,TAMPA,76.7,19,0.947,,,,,
CLEVERSMITHS INC,18,0,2,2023,TX,DALLAS,76.7,18,1.0,CLEVERSMITHS INC,"Software Engineer, Software  Engineer, Quality Engineer, Data Engineer, Data  Engineer",98904.0,7.0,Software & IT
THE CHILDRENS HOSP OF PHILADELPHIA,78,3,1,2019,PA,PHILADELPHIA,76.7,81,0.963,,,,,
ROLLS ROYCE SOLUTIONS AMERICA INC,18,0,2,2023,MI,NOVI,76.7,18,1.0,,,,,
COMMON SECURITIZATION SOLNS LLC,18,1,3,2022,MD,BETHESDA,76.7,19,0.947,,,,,
COMMONWEALTH EDISON AN EXELON COMPANY,18,0,2,2023,PA,KENNETT SQUARE,76.7,18,1.0,,,,,
OZARKS MEDICAL CENTER,18,0,2,2020,MO,WEST PLAINS,76.7,18,1.0,OZARKS MEDICAL CENTER,"Physician, Medical Technologist",151000.0,2.0,Healthcare
CONFINET SOLUTION INC,18,1,3,2022,NJ,PRINCETON,76.7,19,0.947,CONFINET SOLUTION INC,Qa Analyst,88774.0,2.0,Software & IT
AURIGA POLYMERS INC,8,1,5,2023,SC,SPARTANBURG,76.7,9,0.889,,,,,
CAESARS ENTERPRISE SVCS LLC,18,0,2,2022,NV,LAS VEGAS,76.7,18,1.0,,,,,
NELNET BUSINESS SOLUTIONS INC DBA NELNET BUSINESS SERVICES,18,0,2,2023,NE,LINCOLN,76.7,18,1.0,,,,,
GRAND ROUNDS INC,18,1,3,2021,CA,SAN FRANCISCO,76.7,19,0.947,,,,,
SABERT CORPORATION,8,1,5,2023,NJ,SAYREVILLE,76.7,9,0.889,SABERT CORPORATION,"Plant Operations Manager, Paper",150000.0,1.0,Management
SAMPRASOFT LLC,8,1,5,2023,GA,ALPHARETTA,76.7,9,0.889,SAMPRASOFT LLC,Software Engineer,90251.0,1.0,Software & IT
PIXAR CLOUD INC,18,1,3,2023,DE,NEWARK,76.7,19,0.947,,,,,
ZHOU LAW INC,8,1,5,2023,CA,CITY OF INDUSTRY,76.7,9,0.889,ZHOU LAW INC,Attorney,108160.0,1.0,Legal
WEAVER AND TIDWELL L L P,18,0,2,2021,TX,FORT WORTH,76.7,18,1.0,,,,,
CLEAR LINK TECHNOLOGIES LLC,18,1,3,2021,UT,SALT LAKE CITY,76.7,19,0.947,,,,,
GRANTHAM MAYO VAN OTTERLOO & CO LLC,18,0,2,2023,MA,BOSTON,76.7,18,1.0,,,,,
GREAT LAKES PHYSICIAN PRACTICE PC,18,1,3,2022,PA,PITTSBURGH,76.7,19,0.947,,,,,
ALPHASENSE INC,8,1,5,2023,NY,NEW YORK,76.7,9,0.889,,,,,
THE WEISSCOMM GRP LTD D/B/A W2O GR,18,0,2,2021,CA,SAN FRANCISCO,76.7,18,1.0,,,,,
BLUEPAY PROCESSING LLC,18,0,2,2020,IL,NAPERVILLE,76.7,18,1.0,,,,,
OLD DOMINION FREIGHT LINE INC,18,1,3,2022,NC,THOMASVILLE,76.7,19,0.947,,,,,
AGNETO INC,8,1,5,2023,TX,IRVING,76.7,9,0.889,AGNETO INC,Software Engineer,88500.0,1.0,Software & IT
NORTH DAVIS PREPARATORY ACADEMY,8,1,5,2023,UT,LAYTON,76.7,9,0.889,,,,,
FLORIDA INTL UNIVERSITY,57,1,1,2019,FL,MIAMI,76.7,58,0.983,,,,,
RESEARCH TRIANGLE INSTITUTE RTI IN,18,0,2,2021,NC,DURHAM,76.7,18,1.0,,,,,
PLAT STUDIO INC,8,1,5,2023,CA,BERKELEY,76.7,9,0.889,,,,,
HORIZON TIRE INC,8,1,5,2023,CA,IRWINDALE,76.7,9,0.889,,,,,
IAN CORPORATION,18,1,3,2023,GU,BARRIGADA,76.7,19,0.947,,,,,
SMART ENERGY SYSTEMS INC DBA SMART ENERGY WATER,18,0,2,2023,CA,IRVINE,76.7,18,1.0,,,,,
CATALINA MARKETING TECH SOLNS INC,18,1,3,2022,FL,SAINT PETERSBURG,76.7,19,0.947,,,,,
SONOCO PRODUCTS COMPANY,8,1,5,2023,SC,HARTSVILLE,76.7,9,0.889,SONOCO PRODUCTS COMPANY,Solutions Architect,150000.0,1.0,Software & IT
REMEDY BPCI PARTNERS LLC,18,0,2,2020,CT,NORWALK,76.7,18,1.0,,,,,
SOUTHEASTERN DATA COOPERATIVE INC,18,0,2,2021,GA,ATLANTA,76.7,18,1.0,,,,,
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,18,0,2,2023,WA,SEATTLE,76.7,18,1.0,,,,,
HATCH ASSOCIATES CONSULTANTS INC,18,1,3,2023,PA,PITTSBURGH,76.7,19,0.947,,,,,
MARSH MCLENNAN SHARED SVCS CORP,18,0,2,2021,NJ,HOBOKEN,76.7,18,1.0,,,,,
MAVENLINK INC,8,1,5,2023,CA,IRVINE,76.7,9,0.889,,,,,
TRICOPP INC DBA CLOUDPATHS,18,0,2,2023,CA,PLEASANTON,76.7,18,1.0,,,,,
MERCURY INSURANCE SVCS LLC D/B/A M,18,0,2,2021,CA,BREA,76.7,18,1.0,,,,,
FINGER PRINTS SERVICES INC,8,1,5,2023,AR,SPRINGDALE,76.7,9,0.889,,,,,
POPHEALTHCARE LLC,8,1,5,2023,TN,FRANKLIN,76.7,9,0.889,,,,,
LONDON ECONOMICS INTERNATIONAL LLC,8,1,5,2023,MA,BOSTON,76.7,9,0.889,LONDON ECONOMICS INTERNATIONAL LLC,Consultant,89000.0,1.0,Finance & Business
THE MEET GROUP INC,8,1,5,2023,PA,NEW HOPE,76.7,9,0.889,,,,,
AMERICAS SOCIETY INC,8,1,5,2023,NY,NEW YORK,76.7,9,0.889,,,,,
RPS GROUP INC,8,1,5,2023,TX,HOUSTON,76.7,9,0.889,,,,,
NCH MANAGEMENT SYSTEMS INC DBA NEW CENTURY HEALTH,18,0,2,2023,CA,BREA,76.7,18,1.0,,,,,
THE SILICON PARTNERS INC,8,1,5,2023,CA,FOLSOM,76.7,9,0.889,,,,,
VOYAGE AUTO INC,18,1,3,2021,CA,PALO ALTO,76.7,19,0.947,,,,,
ADVISOR GROUP INC,8,1,5,2023,AZ,PHOENIX,76.7,9,0.889,,,,,
CURB MOBILITY LLC,8,1,5,2023,NY,ASTORIA,76.7,9,0.889,,,,,
DTEX SYSTEMS INC,8,1,5,2023,CA,SAN JOSE,76.7,9,0.889,,,,,
LITTLE SCHOLARS OF ARKANSAS,18,0,2,2023,AR,LITTLE ROCK,76.7,18,1.0,,,,,
ZIPLINE INTERNATIONAL INC,18,0,2,2022,CA,SOUTH SAN FRANCISCO,76.7,18,1.0,,,,,
NEW MEXICO INSTITUTE OF MINING & T,18,0,2,2022,NM,SOCORRO,76.7,18,1.0,,,,,
AGILETRAILBLAZERS LLC DBA CIRRUSLABS,18,0,2,2023,VA,RESTON,76.7,18,1.0,,,,,
DEW SOFTWARE INC,66,21,5,2023,CA,FREMONT,76.7,87,0.759,,,,,
NEOPOST USA INC,18,0,2,2020,CT,MILFORD,76.7,18,1.0,,,,,
JFC INTERNATIONAL INC,8,1,5,2023,CA,LOS ANGELES,76.7,9,0.889,,,,,
REDBUD TECHNOLOGIES INC,38,10,5,2023,TX,MCKINNEY,76.6,48,0.792,REDBUD TECHNOLOGIES INC,Software Engineer,90000.0,1.0,Software & IT
ROCKY MOUNTAIN INSTITUTE INC,31,3,3,2021,CO,BOULDER,76.6,34,0.912,,,,,
ZENSA LLC,22,3,4,2022,WA,REDMOND,76.6,25,0.88,,,,,
GLOBAL FORCE USA INC,20,4,5,2023,TX,HOUSTON,76.6,24,0.833,,,,,
EBIN NEW YORK INC,20,4,5,2023,NJ,TETERBORO,76.6,24,0.833,,,,,
NAZTEC INTERNATIONAL GROUP LLC,30,1,2,2023,FL,WEST PALM BCH,76.6,31,0.968,NAZTEC INTERNATIONAL GROUP LLC,"Security Engineer, Application Developer",93704.0,4.0,Software & IT
ENVOY INC,20,4,5,2023,CA,SAN FRANCISCO,76.6,24,0.833,,,,,
I3 INFOTEK INC,319,99,3,2021,NJ,EDISON,76.6,418,0.763,I3 INFOTEK INC,"Quality Engineer, Etl Developer, Supplier Quality Engineer, Design Quality Engineer, Programmer Analyst",95750.0,14.0,Engineering
THE WISTAR INSTITUTE OF ANATOMY &,30,1,2,2021,PA,PHILADELPHIA,76.6,31,0.968,,,,,
MAPR TECHNOLOGIES INC,30,1,2,2020,CA,SANTA CLARA,76.6,31,0.968,,,,,
NOVI IT INC,20,4,5,2023,MI,FARMINGTON HILLS,76.6,24,0.833,,,,,
ITENTIAL LLC,25,2,3,2021,GA,ATLANTA,76.6,27,0.926,,,,,
MEDSTAR GEORGETOWN MEDICAL CENTER INC D/B/A MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL MGUH,42,0,1,2022,DC,BALTIMORE,76.6,42,1.0,,,,,
ZIONTECH SOLUTIONS INC,79,27,5,2023,CA,MILPITAS,76.6,106,0.745,,,,,
AMICUS GLOBAL IT INCORPORATED,31,3,3,2023,CA,LAGUNA HILLS,76.6,34,0.912,,,,,
UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER,39,2,2,2023,OH,CLEVELAND,76.6,41,0.951,UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER,"Clinical Dietitian, Social Worker, Anesthesiologist Assistant, Neurological Systems Engineer, Physician",71400.0,5.0,Healthcare
NEO INFOTECH INC,39,2,2,2023,TX,DALLAS,76.6,41,0.951,,,,,
TRANSNATIONAL SOFTWARE SERVICES INC,30,1,2,2023,TX,COPPELL,76.6,31,0.968,TRANSNATIONAL SOFTWARE SERVICES INC,"Data Integration Developer, Java Developer, Software Engineer, Edi Qa Tester",92258.0,4.0,Software & IT
NAVIGANT CONSULTING INC,30,1,2,2020,IL,CHICAGO,76.6,31,0.968,,,,,
SAI BUSINESS SOLUTIONS LLC DBA SBS CORP,30,1,2,2023,TX,HOUSTON,76.6,31,0.968,,,,,
KEY BUSINESS SOLUTIONS INC,51,15,5,2023,CA,SACRAMENTO,76.6,66,0.773,,,,,
EUROFINS LANCASTER LABORATORIES PROFESSIONAL SCIENTIFIC SERVICES LLC DBA EUROFINS PSS INSOURCING SOLUTIONS,39,2,2,2023,PA,LANCASTER,76.6,41,0.951,,,,,
ABBVIE BIOTHERAPEUTICS INC AN,56,1,1,2022,IL,NORTH CHICAGO,76.6,57,0.982,,,,,
WSU EECS,42,0,1,2021,WA,PULLMAN,76.6,42,1.0,,,,,
RIGHTPOINT CONSULTING LLC,22,3,4,2022,NJ,SHORT HILLS,76.6,25,0.88,RIGHTPOINT CONSULTING LLC,Analytics Lead,123000.0,1.0,Software & IT
SEVENTYNINE SOLUTIONS INC,25,2,3,2023,TX,HOUSTON,76.6,27,0.926,,,,,
SEL ENGINEERING SVCS INC,56,1,1,2019,WA,PULLMAN,76.6,57,0.982,,,,,
LEVI STRAUSS CO,42,0,1,2019,CA,SAN FRANCISCO,76.6,42,1.0,,,,,
QUADGEN WIRELESS SOLUTIONS INC,39,2,2,2020,PA,KING OF PRUSSIA,76.6,41,0.951,,,,,
NUANCE ENTERPRISE SOLNS & SVC CORP,7,0,3,2022,MA,BURLINGTON,76.5,7,1.0,,,,,
GOLDEN GATE UNIVERSITY,7,0,3,2023,CA,SAN FRANCISCO,76.5,7,1.0,,,,,
RUTLAND REGIONAL MEDICAL CENTER,7,0,3,2022,VT,RUTLAND,76.5,7,1.0,,,,,
SMUGMUG INC,7,0,3,2021,CA,MOUNTAIN VIEW,76.5,7,1.0,,,,,
FRONTAPP INC,17,2,4,2022,CA,SAN FRANCISCO,76.5,19,0.895,,,,,
NURANI P C,7,0,3,2022,CA,IRVINE,76.5,7,1.0,,,,,
CTBC BANK CORP USA,7,0,3,2022,CA,LOS ANGELES,76.5,7,1.0,,,,,
FTI CONSULTING INC,7,0,3,2022,MD,BOWIE,76.5,7,1.0,,,,,
PERSIMMON TECHNOLOGIES CORPORATION,7,0,3,2022,MA,WAKEFIELD,76.5,7,1.0,,,,,
EUROFINS CENTRAL LABORATORY LLC,7,0,3,2023,PA,LANCASTER,76.5,7,1.0,,,,,
NUVASIVE MANUFACTURING LLC,7,0,3,2023,OH,DAYTON,76.5,7,1.0,NUVASIVE MANUFACTURING LLC,Senior Manufacturing Engineer ,107371.0,1.0,Engineering
CITY THEATRICAL INC,7,0,3,2022,NJ,CARLSTADT,76.5,7,1.0,,,,,
VIZTECH LLC,17,0,2,2023,NJ,MORGANVILLE,76.5,17,1.0,,,,,
CIPHER GROUP TECHNOLOGIES INC,7,0,3,2023,TX,AUSTIN,76.5,7,1.0,,,,,
GOLDWIND USA INC,7,0,3,2021,IL,CHICAGO,76.5,7,1.0,,,,,
BESTSELF BEHAVIORAL HEALTH INC,7,0,3,2022,NY,BUFFALO,76.5,7,1.0,,,,,
CV DESIGNERS INC DBA CV ENGRG,7,0,3,2021,PA,PITTSBURGH,76.5,7,1.0,,,,,
CXFORWARD LLC,7,0,3,2022,GA,ATLANTA,76.5,7,1.0,,,,,
NUNA INCORPORATED,17,0,2,2023,CA,SAN FRANCISCO,76.5,17,1.0,NUNA INCORPORATED,Director Of Product,228000.0,1.0,Management
MAINEHEALTH,17,2,4,2023,ME,PORTLAND,76.5,19,0.895,MAINEHEALTH,Medical Technologist,58181.0,3.0,Healthcare
RUNWAY AI INC,7,0,3,2022,NY,BROOKLYN,76.5,7,1.0,,,,,
CINCINNATI CHILDREN S HOSPITAL MED,84,4,1,2019,OH,CINCINNATI,76.5,88,0.955,,,,,
MAG AEROSPACE INDUSTRIES LLC,7,0,3,2023,CA,CARSON,76.5,7,1.0,,,,,
BHARAT FORGE ALUMINUM USA INC,7,0,3,2023,NC,SANFORD,76.5,7,1.0,,,,,
SICANGU OYATE HO INC,17,0,2,2022,SD,SAINT FRANCIS,76.5,17,1.0,,,,,
BIGD TECHNOLOGIES LLC,7,0,3,2023,NJ,PISCATAWAY,76.5,7,1.0,,,,,
EFFEXOFT INC,7,0,3,2022,NJ,SOMERSET,76.5,7,1.0,,,,,
SULLIVAN & WORCESTER LLP,7,0,3,2021,MA,BOSTON,76.5,7,1.0,SULLIVAN & WORCESTER LLP,Corporate Associate,300000.0,1.0,Legal
ADVANCED TECHNOLOGY SERVICES INC,7,0,3,2021,IL,PEORIA,76.5,7,1.0,,,,,
CUSTOMER ANALYTICS LLC,7,0,3,2023,WI,VERONA,76.5,7,1.0,,,,,
STAGITY SOLUTIONS LLC,7,0,3,2023,TX,DALLAS,76.5,7,1.0,,,,,
CIRCUIT ENGINEERING LLC,7,0,3,2023,IL,ELK GROVE VILLAGE,76.5,7,1.0,,,,,
SMS ASSIST L L C,17,0,2,2022,IL,CHICAGO,76.5,17,1.0,,,,,
EGB SYSTEMS & SOLUTIONS INC,7,0,3,2023,CT,STAMFORD,76.5,7,1.0,,,,,
KEEFE GROUP LLC,7,0,3,2022,MO,SAINT LOUIS,76.5,7,1.0,,,,,
FRIEDRICH AIR CONDITIONING LLC,7,0,3,2022,TX,SAN ANTONIO,76.5,7,1.0,,,,,
RPI CONSULTANTS LLC,7,0,3,2022,MD,BALTIMORE,76.5,7,1.0,,,,,
NORTHSHORE UNIVERSITY HEALTHSYSTEM,7,0,3,2023,IL,EVANSTON,76.5,7,1.0,,,,,
LUCIDWORKS,7,0,3,2021,CA,SAN FRANCISCO,76.5,7,1.0,,,,,
LUCIDWORKS INC,7,0,3,2023,CA,SAN FRANCISCO,76.5,7,1.0,,,,,
JETTY NATIONAL INC,7,0,3,2023,NY,NEW YORK,76.5,7,1.0,,,,,
CHI SAINT JOSEPH MEDICAL GROUP AKA,7,0,3,2022,KY,LONDON,76.5,7,1.0,,,,,
PISTON AUTOMOTIVE LLC,7,0,3,2022,MI,REDFORD,76.5,7,1.0,,,,,
PISMO SERVICING LLC,17,0,2,2023,TX,AUSTIN,76.5,17,1.0,,,,,
BLOOMINGDALES INC,7,0,3,2021,GA,DULUTH,76.5,7,1.0,,,,,
ROYOLE CORPORATION,7,0,3,2021,CA,FREMONT,76.5,7,1.0,,,,,
TARO ENGINEERING LLC,7,0,3,2022,IN,FISHERS,76.5,7,1.0,TARO ENGINEERING LLC,Lead Design Engineer,66000.0,1.0,Engineering
LUCID SOFTWARE INC.,7,0,3,2022,UT,SOUTH JORDAN,76.5,7,1.0,LUCID SOFTWARE INC.,"Software Engineer, Product Manager, Data Analyst, Ux Designer Ii, Sr. Applied Scientist Ii",105000.0,11.0,Software & IT
SYNAPTIC ADVISORY PARTNERS,7,0,3,2022,MD,ANNAPOLIS,76.5,7,1.0,,,,,
SHOOLIN INC,67,22,5,2023,NJ,ISELIN,76.5,89,0.753,SHOOLIN INC,"Software Engineer, Manufacturing Engineer, Mechnical Design Engineer, Systems Analyst, Business Analyst",94182.0,14.0,Engineering
3IGEEKS LLC,7,0,3,2022,LA,BATON ROUGE,76.5,7,1.0,,,,,
TURNTIDE TECHNOLOGIES INC,7,0,3,2023,CA,SUNNYVALE,76.5,7,1.0,,,,,
MODIVCARE SOLUTIONS LLC,17,0,2,2022,CO,DENVER,76.5,17,1.0,,,,,
MODINEER COMPANY LLC,7,0,3,2022,MI,NILES,76.5,7,1.0,MODINEER COMPANY LLC,Manufacturing And Continuous Improvement,98000.0,1.0,Engineering
JIAMING INVESTMENT AMERICA GP LLC,7,0,3,2022,MA,BOSTON,76.5,7,1.0,,,,,
NOSTRUM ENERGY LLC,7,0,3,2023,MI,ANN ARBOR,76.5,7,1.0,,,,,
PINSCREEN INC,7,0,3,2023,CA,LOS ANGELES,76.5,7,1.0,,,,,
AMWAY CORP,7,0,3,2021,MI,ADA,76.5,7,1.0,,,,,
JERVIS B WEBB COMPANY,7,0,3,2022,MI,NOVI,76.5,7,1.0,,,,,
MACROGENICS INC,7,0,3,2022,MD,ROCKVILLE,76.5,7,1.0,,,,,
