employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate
SVK VETERINARY SERVICES PLLC,5,0,3,2022,TX,FRIENDSWOOD,75.5,5,1.0
OGE ENERGY CORPORATION,5,0,3,2023,OK,OKLAHOMA CITY,75.5,5,1.0
VUESOL TECHNOLOGIES INC,69,25,5,2023,GA,ALPHARETTA,75.5,94,0.734
YPR INFOTEK INC,5,0,3,2022,VA,GLEN ALLEN,75.5,5,1.0
BAYLOR RESEARCH INSTITUTE,15,1,3,2021,TX,DALLAS,75.5,16,0.938
THE AWTY INTERNATIONAL SCHOOL,5,0,3,2023,TX,HOUSTON,75.5,5,1.0
ODYSSEY REINSURANCE COMPANY,5,0,3,2022,CT,STAMFORD,75.5,5,1.0
ODYSSEY PRESCHOOL INC,5,0,3,2022,CA,SAN MATEO,75.5,5,1.0
BAUER FOUNDATION CORP,5,0,3,2022,FL,ODESSA,75.5,5,1.0
HR CLOUD INC,5,0,3,2023,CA,EL SEGUNDO,75.5,5,1.0
PCTEL INC,5,0,3,2021,IL,BLOOMINGDALE,75.5,5,1.0
THE BOLLARD GROUP LLC,5,0,3,2022,MA,BOSTON,75.5,5,1.0
ARDIS DATA LLC,5,0,3,2023,FL,PORT ORANGE,75.5,5,1.0
ODESSA JUNIOR COLLEGE DBA ODESSA C,5,0,3,2021,TX,ODESSA,75.5,5,1.0
SARKIT INC,35,10,5,2023,NE,OMAHA,75.5,45,0.778
OLD WORLD INDUSTRIES LLC,5,0,3,2023,IL,NORTHBROOK,75.5,5,1.0
VROOZI INC,5,0,3,2022,CA,SHERMAN OAKS,75.5,5,1.0
SATURN ELECTRONICS CORPORATION,5,0,3,2021,MI,ROMULUS,75.5,5,1.0
ARC DOCUMENT SOLUTIONS LLC,5,0,3,2022,CA,SAN RAMON,75.5,5,1.0
ADVANCED INFRASTRUCTURE DESIGN INC,5,0,3,2022,NJ,HAMILTON,75.5,5,1.0
ARBORMETRIX INC,13,0,2,2021,MI,ANN ARBOR,75.5,13,1.0
FUNARO CO PC,5,0,3,2021,NY,NEW YORK,75.5,5,1.0
WICKR INC,5,0,3,2021,NY,NEW YORK,75.5,5,1.0
INTEL GRIDS INC,5,0,3,2023,CA,PLEASANTON,75.5,5,1.0
WIEDEN KENNEDY INC,10,1,4,2023,OR,PORTLAND,75.5,11,0.909
RYEDALE INC,5,0,3,2022,CA,SANTA ROSA,75.5,5,1.0
REWARDS NETWORK ESTABLISHMENT SVCS,5,0,3,2022,IL,CHICAGO,75.5,5,1.0
ARACO CONSTRUCTION SERVICES LLC,5,0,3,2022,CO,FOUNTAIN,75.5,5,1.0
ARCHITECTURE RESEARCH OFFICE LLC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
ADVANCED KNOWLEDGE TECHNOLOGIES INC,13,0,2,2023,NJ,PISCATAWAY,75.5,13,1.0
WABCO COMPRESSOR MANUFACTURING CO,5,0,3,2023,SC,NORTH CHARLESTON,75.5,5,1.0
PERCEPTIVE INFORMATICS LLC DBA CAL,13,0,2,2022,MA,BILLERICA,75.5,13,1.0
INDI EV INC DBA INDEPENDENT ELECTR,5,0,3,2022,CA,LOS ANGELES,75.5,5,1.0
AQUICORE INC,5,0,3,2022,DC,WASHINGTON,75.5,5,1.0
RYDER SCOTT COMPANY LP,5,0,3,2021,TX,HOUSTON,75.5,5,1.0
APYX MEDICAL CORPORATION,5,0,3,2022,FL,CLEARWATER,75.5,5,1.0
SACRED HEART UNIV,5,0,3,2023,CT,FAIRFIELD,75.5,5,1.0
HEALTHCARE FINANCIAL INC,5,0,3,2022,MA,QUINCY,75.5,5,1.0
SAC WIRELESS LLC,5,0,3,2023,IL,CHICAGO,75.5,5,1.0
ARCH GROUP LLC DBA EMERSON RUSH,5,0,3,2023,MN,LAKE ELMO,75.5,5,1.0
ARCH SYSTEMS LLC,5,0,3,2022,MD,BALTIMORE,75.5,5,1.0
HEARTS & SCIENCE LLC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
OBSIDIAN ENTERTAINMENT INC,5,0,3,2023,CA,IRVINE,75.5,5,1.0
ARMISTICE CAPITAL LLC,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
SUMMIT RX INC,5,0,3,2022,NJ,KEARNY,75.5,5,1.0
FUSIONSTAK LLC,5,0,3,2022,LA,BATON ROUGE,75.5,5,1.0
PENN STEEL FABRICATION INC,5,0,3,2021,PA,BRISTOL,75.5,5,1.0
QUALITAU INC,5,0,3,2022,CA,SANTA CLARA,75.5,5,1.0
SWANSON RINK INC,5,0,3,2021,CO,DENVER,75.5,5,1.0
ARCHILIER LLC,5,0,3,2021,NY,NEW YORK,75.5,5,1.0
PAXAFE INC,5,0,3,2023,IN,INDIANAPOLIS,75.5,5,1.0
QUORUM ANALYTICS INC,5,0,3,2023,DC,WASHINGTON,75.5,5,1.0
SUMMIT ELECTRIC SUPPLY CO INC,5,0,3,2023,NM,ALBUQUERQUE,75.5,5,1.0
PENNSYLVANIA TURNPIKE COMMISSION,7,1,5,2023,PA,MIDDLETOWN,75.5,8,0.875
SUMMERHILL LANDSCAPES INC,10,1,4,2023,NY,SAG HARBOR,75.5,11,0.909
BEFORE YOU SOLUTIONS LLC,10,1,4,2022,GA,CUMMING,75.5,11,0.909
WABASH COLLEGE,5,0,3,2022,IN,CRAWFORDSVILLE,75.5,5,1.0
SUNBIRD SOFTWARE INC,5,0,3,2022,NJ,SOMERSET,75.5,5,1.0
QUANTAM SOLUTIONS LLC,5,0,3,2023,MI,SOUTHFIELD,75.5,5,1.0
SABRE COMMUNICATIONS CORP DBA SABR,5,0,3,2021,TX,ALVARADO,75.5,5,1.0
BEFUN INC,5,0,3,2022,CA,EL MONTE,75.5,5,1.0
ANTARES CAPITAL LP,5,0,3,2023,IL,CHICAGO,75.5,5,1.0
ON LINE TAXES INC,5,0,3,2021,MO,SAINT JOSEPH,75.5,5,1.0
ANOVA LAW GROUP PLLC,5,0,3,2022,VA,STERLING,75.5,5,1.0
ASIA PACIFIC LANGUAGE SCHOOL,5,0,3,2023,WA,BELLEVUE,75.5,5,1.0
PODILISOFT INC,5,0,3,2021,GA,CUMMING,75.5,5,1.0
QMS CAPITAL MANAGEMENT LP,5,0,3,2022,NC,DURHAM,75.5,5,1.0
THE ACT 1 GROUP INC,5,0,3,2023,CA,GLENDALE,75.5,5,1.0
STREAMNATIVE INC,5,0,3,2023,CA,SAN FRANCISCO,75.5,5,1.0
INTERRA SYSTEMS INC,5,0,3,2023,CA,CUPERTINO,75.5,5,1.0
SAGE MILLIMETER INC,5,0,3,2021,CA,TORRANCE,75.5,5,1.0
YINGHUA INTERNATIONAL SCHOOL,5,0,3,2022,NJ,KINGSTON,75.5,5,1.0
ROME MEMORIAL HOSPITAL INC,5,0,3,2022,NY,ROME,75.5,5,1.0
VIRTUOUS TECH INC,13,0,2,2023,VA,RESTON,75.5,13,1.0
AMERICAN SOCIETY FOR TRAINING & DE,5,0,3,2021,VA,ALEXANDRIA,75.5,5,1.0
POD FOODS CO,5,0,3,2022,CA,AUSTIN,75.5,5,1.0
TERRELL COUNTY CHARTER SCHOOL SYST,5,0,3,2022,GA,DAWSON,75.5,5,1.0
FORTRESS INFORMATION SECURITY LLC,5,0,3,2022,FL,ORLANDO,75.5,5,1.0
HORNET ANIMATIONS INC,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
YT RESOLUTION SERVICES LLC,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
ASKESIS DEVELOPMENT GROUP INC,5,0,3,2022,PA,PITTSBURGH,75.5,5,1.0
BOEING ENCORE INTERIORS LLC,5,0,3,2023,CA,HUNTINGTON BEACH,75.5,5,1.0
ROLLINS INC,5,0,3,2022,GA,ATLANTA,75.5,5,1.0
NITOR INFOTECH INC,5,0,3,2023,IL,SCHAUMBURG,75.5,5,1.0
VIRTUAL INSTRUMENTS CORP DBA VIRTA,13,0,2,2021,CA,SAN JOSE,75.5,13,1.0
INTERPLEX NAS INC,5,0,3,2022,NJ,NORTHVALE,75.5,5,1.0
PNS SOFTWARE INC,38,8,4,2022,TX,FRISCO,75.5,46,0.826
PHOENIX UNION HIGH SCHOOL DISTRICT,13,0,2,2021,AZ,PHOENIX,75.5,13,1.0
TEAMWORK SPEECH THERAPY INC,5,0,3,2023,CA,PLEASANTON,75.5,5,1.0
TEKHOPS LLC,13,0,2,2023,MN,ANOKA,75.5,13,1.0
BLUEALLY TECHNOLOGY SOLUTIONS LLC,5,0,3,2022,KS,OVERLAND PARK,75.5,5,1.0
WONDERSAUCE LLC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
FOXCONN/HON HAI LOGISTICS CA LLC,5,0,3,2022,CA,DIAMOND BAR,75.5,5,1.0
SCIENCE SYSTEMS & APPLICATIONS INC,15,1,3,2022,MD,LANHAM,75.5,16,0.938
HDR ARCHITECTS AND ENGINEERS PC,5,0,3,2023,NE,OMAHA,75.5,5,1.0
SCIENTECH RESEARCH LLC,13,0,2,2022,NJ,JERSEY CITY,75.5,13,1.0
HOSPITAL CONSULTANTS PC,5,0,3,2022,MI,GRAND BLANC,75.5,5,1.0
ASH STEVENS LLC DBA PIRAMAL PHARMA SOLUTIONS,13,0,2,2023,MI,RIVERVIEW,75.5,13,1.0
HSF AFFILIATES LLC,5,0,3,2022,CA,IRVINE,75.5,5,1.0
PNG COMPANIES LLC,5,0,3,2023,PA,PITTSBURGH,75.5,5,1.0
WOOD RODGERS INC,5,0,3,2022,CA,SACRAMENTO,75.5,5,1.0
VISCOSITY NORTH AMERICA INC,5,0,3,2021,TX,CARROLLTON,75.5,5,1.0
WOODMORE LOCAL SCHOOLS,5,0,3,2022,OH,ELMORE,75.5,5,1.0
SCIENTIFIC FORMING TECHNOLOGIES CO,5,0,3,2021,OH,COLUMBUS,75.5,5,1.0
BLUEPATH SOLUTIONS INC,5,0,3,2021,CA,LOS ANGELES,75.5,5,1.0
ROPAAR LLC,7,1,5,2023,TX,DALLAS,75.5,8,0.875
THE DAVID J JOSEPH COMPANY,5,0,3,2022,OH,CINCINNATI,75.5,5,1.0
GGV MANAGEMENT LLC,5,0,3,2023,CA,MENLO PARK,75.5,5,1.0
ASHLEY DISTRIBUTION SERVICES LTD,5,0,3,2023,WI,ARCADIA,75.5,5,1.0
GESTAMP MASON LLC,5,0,3,2022,MI,MASON,75.5,5,1.0
NISHIYAMATO INC DBA NISHIYAMATO AC,5,0,3,2022,CA,LOMITA,75.5,5,1.0
BOND STREET MORTGAGE LLC,5,0,3,2023,NJ,PARAMUS,75.5,5,1.0
FOOD AND DRUG ADMINISTRATION HHS,31,0,1,2023,MD,BETHESDA,75.5,31,1.0
NICMAN GROUP LLC,5,0,3,2023,CO,ENGLEWOOD,75.5,5,1.0
WORLD TRANSLOAD LOGISTICS LLC,5,0,3,2023,MN,NEW HOPE,75.5,5,1.0
NICHOLS COLLEGE OF BUSINESS ADMIN,5,0,3,2021,MA,DUDLEY,75.5,5,1.0
SCRIPPS COLLEGE,5,0,3,2023,CA,CLAREMONT,75.5,5,1.0
GCON MANAGEMENT COMPANY LLC,5,0,3,2022,AZ,PHOENIX,75.5,5,1.0
NIAGARA FALLS MEMORIAL MEDICAL CTR,13,0,2,2021,NY,NIAGARA FALLS,75.5,13,1.0
POTOWMAC ENGINEERS INC,5,0,3,2022,MD,CAPITOL HEIGHTS,75.5,5,1.0
FOOD SAFETY NET SERVICES LTD,5,0,3,2021,TX,SAN ANTONIO,75.5,5,1.0
ZENON LLC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
INNOVER GLOBAL INC,10,1,4,2023,WY,CHEYENNE,75.5,11,0.909
YIN LU CPA PC,5,0,3,2021,NY,FLUSHING,75.5,5,1.0
BOXY CHARM INC,5,0,3,2023,FL,PEMBROKE PINES,75.5,5,1.0
AMERICAN CONTRACTING & ENVIRONMENT,5,0,3,2021,MD,COLUMBIA,75.5,5,1.0
NGI INC,5,0,3,2023,TX,HOUSTON,75.5,5,1.0
ASSISTRX INC,5,0,3,2022,FL,ORLANDO,75.5,5,1.0
VINCE LLC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
ASSOCIATES SYSTEMS LLC,10,1,4,2023,NJ,PRINCETON,75.5,11,0.909
BOYD WATTERSON ASSET MANAGEMENT LL,5,0,3,2023,OH,CLEVELAND,75.5,5,1.0
POWER SYSTEMS MFG LLC,5,0,3,2021,FL,JUPITER,75.5,5,1.0
THE FREEMAN COMPANY LLC,5,0,3,2023,TX,DALLAS,75.5,5,1.0
AEDIT LLC,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
INFORMATION BUILDERS INC,15,1,3,2021,NY,NEW YORK,75.5,16,0.938
VIRALGAINS INC,5,0,3,2022,MA,BOSTON,75.5,5,1.0
BOSTON POLARIMETRICS INC,5,0,3,2022,CA,PALO ALTO,75.5,5,1.0
POLYPLEX USA LLC,5,0,3,2023,AL,DECATUR,75.5,5,1.0
INTL COMPUTER SCIENCE INSTITUTE,5,0,3,2021,CA,BERKELEY,75.5,5,1.0
GREENOAKS CAPITAL PARTNERS LLC,5,0,3,2021,CA,SAN FRANCISCO,75.5,5,1.0
HELLA CORPORATE CENTER USA INC,10,1,4,2023,MI,NORTHVILLE,75.5,11,0.909
POMEROY TECHNOLOGIES LLC,5,0,3,2023,KY,HEBRON,75.5,5,1.0
LAW OFFICE OF XIAOMIN HU P C,5,0,3,2023,CA,IRVINE,75.5,5,1.0
GREGORY PHARMACEUTICAL HOLDINGS IN,5,0,3,2022,TN,BRISTOL,75.5,5,1.0
NIKKEI AMERICA INC,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
HBSS CONNECT CORP,5,0,3,2021,MA,LOWELL,75.5,5,1.0
STRATERA TECHNOLOGIES INC,5,0,3,2022,VA,ALEXANDRIA,75.5,5,1.0
GRESHAM PARTNERS LLC,5,0,3,2023,IL,CHICAGO,75.5,5,1.0
THAI SUMMIT AMERICA CORPORATION,5,0,3,2021,MI,HOWELL,75.5,5,1.0
BOSTON DYNAMICS INC,5,0,3,2023,MA,WALTHAM,75.5,5,1.0
RGA MEDIA GROUP INC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
PORT OF SEATTLE,5,0,3,2023,WA,SEATTLE,75.5,5,1.0
BOSTON GLOBE MEDIA PARTNERS LLC,5,0,3,2023,MA,BOSTON,75.5,5,1.0
PORTFOLIO BI INC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
WORLD IP PHONE INC,35,10,5,2023,CA,SAN JOSE,75.5,45,0.778
ROHRBACK COSASCO SYSTEMS INC,5,0,3,2021,CA,SANTA FE SPRINGS,75.5,5,1.0
ASG TECHNOLOGIES GROUP INC,5,0,3,2022,FL,NAPLES,75.5,5,1.0
TECAN SYSTEMS INC,5,0,3,2022,CA,SAN JOSE,75.5,5,1.0
NORTH AMERICAN SAVINGS BANK F S B,5,0,3,2021,MO,KANSAS CITY,75.5,5,1.0
ANDRO COMPUTATIONAL SOLUTIONS LLC,5,0,3,2022,NY,ROME,75.5,5,1.0
NOVA TECH ENGINEERING LLC,5,0,3,2021,MN,WILLMAR,75.5,5,1.0
VITAMIX MANAGEMENT CORPORATION,5,0,3,2022,OH,OLMSTED FALLS,75.5,5,1.0
PINES HEALTH SERVICES,5,0,3,2023,ME,CARIBOU,75.5,5,1.0
IMBUESYS INC,54,18,5,2023,IL,ROLLING MEADOWS,75.5,72,0.75
BLACKBIRD ARCHITECTS INC,5,0,3,2022,CA,SANTA BARBARA,75.5,5,1.0
INRIX INC,15,1,3,2022,WA,KIRKLAND,75.5,16,0.938
FREEMAN DIGITAL VENTURES LLC,5,0,3,2022,TX,DALLAS,75.5,5,1.0
THE ARCHITECTURAL TEAM INC,5,0,3,2022,MA,CHELSEA,75.5,5,1.0
GRACE HEALTH INC,5,0,3,2023,MI,BATTLE CREEK,75.5,5,1.0
HPA INC,10,1,4,2022,CA,IRVINE,75.5,11,0.909
VITAL HUBER INC,5,0,3,2022,PA,HARRISBURG,75.5,5,1.0
PINPOINT PREDICTIVE INC,5,0,3,2023,CA,SAN MATEO,75.5,5,1.0
ANDERSON AND ASSOCIATES LLP,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
IMAGEN TECHNOLOGIES INC,5,0,3,2021,NY,NEW YORK,75.5,5,1.0
ONE DIVERSIFIED LLC,5,0,3,2022,NJ,KENILWORTH,75.5,5,1.0
PARASCRIPT LLC,5,0,3,2022,CO,LONGMONT,75.5,5,1.0
WEST VIRGINIA UNIV HOSPITALS INC,15,1,3,2021,WV,MORGANTOWN,75.5,16,0.938
R3 HOLDCO LLC,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
WEST STONE CONSULTING LLC,5,0,3,2022,MA,BOSTON,75.5,5,1.0
SCHNEIDER ELECTRIC IT USA INC,5,0,3,2021,MA,BOSTON,75.5,5,1.0
PILOT SYSTEMS INTERNATIONAL,5,0,3,2021,MI,FARMINGTON HILLS,75.5,5,1.0
AZZUR GROUP DBA AZZUR OF NE LLC,13,0,2,2022,MA,WALTHAM,75.5,13,1.0
ADVANTECH CORPORATION,10,1,4,2022,CA,FAIRFIELD,75.5,11,0.909
ASCEND PUBLIC CHARTER SCHOOLS INC,5,0,3,2023,NY,BROOKLYN,75.5,5,1.0
YORK GENERAL HOSPITAL,5,0,3,2023,NE,YORK,75.5,5,1.0
PHP AGENCY INC,5,0,3,2023,TX,ADDISON,75.5,5,1.0
WAKEMED,5,0,3,2023,NC,RALEIGH,75.5,5,1.0
RTEC INSTRUMENTS INC,5,0,3,2022,CA,SAN JOSE,75.5,5,1.0
B D G WRAP TITE INC,5,0,3,2022,OH,SOLON,75.5,5,1.0
ASCELLA TECHNOLOGIES INC,5,0,3,2021,VA,HERNDON,75.5,5,1.0
ANJANI ETECH SOLUTIONS INC,10,1,4,2023,MI,TROY,75.5,11,0.909
SUCCOR TECHNOLOGIES INC,15,1,3,2022,TX,ALLEN,75.5,16,0.938
GIVAUDAN FRAGRANCES CORPORATION,5,0,3,2021,NJ,EAST HANOVER,75.5,5,1.0
INFOBEYOND TECHNOLOGY LLC,5,0,3,2022,KY,LOUISVILLE,75.5,5,1.0
PIEDMONT ATHENS REGIONAL MED CTR I,13,0,2,2021,GA,ATHENS,75.5,13,1.0
VITROLABS INC,5,0,3,2022,CA,MILPITAS,75.5,5,1.0
PIEDMONT MEDICAL CARE CORPORATION,10,1,4,2023,GA,ATLANTA,75.5,11,0.909
B CAPITAL GROUP U S LLC,5,0,3,2022,CA,MANHATTAN BEACH,75.5,5,1.0
ONCOMYX THERAPEUTICS INC,5,0,3,2022,AZ,PHOENIX,75.5,5,1.0
PIKE ENGINEERING LLC,5,0,3,2023,NC,MOUNT AIRY,75.5,5,1.0
BIZMATICS INC,5,0,3,2022,CA,SAN JOSE,75.5,5,1.0
WINSPIRE SYNERGIES LLC,5,0,3,2022,TX,LEWISVILLE,75.5,5,1.0
THE ARNOLD GROUP LLC,5,0,3,2023,WA,SEATTLE,75.5,5,1.0
FREEDOM FINANCIAL NETWORK FUNDING,13,0,2,2022,AZ,TEMPE,75.5,13,1.0
IMAGE API LLC,5,0,3,2022,FL,TALLAHASSEE,75.5,5,1.0
PLAYSTUDIOS US LLC,5,0,3,2023,NV,LAS VEGAS,75.5,5,1.0
INPATIENT CONSULTANTS OF ILLINOIS,5,0,3,2022,TN,KNOXVILLE,75.5,5,1.0
GRANT LEADING TECHNOLOGY LLC,5,0,3,2023,MD,RIVERDALE,75.5,5,1.0
AXINN VELTROP HARKRIDER LLP,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
WALTER ASSOCIATES INC DBA LATITUDE,5,0,3,2022,MI,SALINE,75.5,5,1.0
PLANT PROCESS EQUIPMENT INC,5,0,3,2023,TX,LEAGUE CITY,75.5,5,1.0
ACORD SOLUTIONS GROUP INC,13,0,2,2023,NY,PEARL RIVER,75.5,13,1.0
GRAPHEN INC,10,1,4,2022,NY,NEW YORK,75.5,11,0.909
VISTA EQUITY PARTNERS MANAGEMENT L,5,0,3,2022,TX,AUSTIN,75.5,5,1.0
AMPEL INC,7,1,5,2023,IL,ELK GROVE VILLAGE,75.5,8,0.875
RABA KISTNER INC,5,0,3,2021,TX,SAN ANTONIO,75.5,5,1.0
AXCELLA HEALTH INC,5,0,3,2021,MA,CAMBRIDGE,75.5,5,1.0
STURFEE INC,5,0,3,2022,CA,MILPITAS,75.5,5,1.0
PLASTIC OMNIUM AUTO EXTERIOR LLC,10,1,4,2022,MI,TROY,75.5,11,0.909
VISIONX LLC,5,0,3,2023,CA,SAN JOSE,75.5,5,1.0
WOCO TECH USA INC,5,0,3,2021,MI,NOVI,75.5,5,1.0
SYNCRO TECHNOLOGY CORP,5,0,3,2023,PA,LANGHORNE,75.5,5,1.0
GRAVITATIONAL INC DBA TELEPORT,5,0,3,2023,CA,OAKLAND,75.5,5,1.0
AMINO INC,5,0,3,2022,CA,SAN FRANCISCO,75.5,5,1.0
GIAMMALVA TENNIS INC DBA GIAMMALVA,5,0,3,2022,TX,SPRING,75.5,5,1.0
ROSETTA ANALYTICS INC,5,0,3,2022,IL,WOODRIDGE,75.5,5,1.0
ROSCOMMON ANALYTICS LLC,5,0,3,2023,TX,HOUSTON,75.5,5,1.0
NORTHEAST GEORGIA PHYSICIANS GROUP,5,0,3,2022,GA,GAINESVILLE,75.5,5,1.0
AXIO FINANCIAL LLC,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
FRANCHISE INFO SVCS INC DBA FRANDA,5,0,3,2022,VA,ARLINGTON,75.5,5,1.0
SYNCHROGRID LIMITED LLC,5,0,3,2021,TX,COLLEGE STATION,75.5,5,1.0
GRAILED INC,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
PAPERLESS INC DBA PAPERLESS POST,5,0,3,2023,NY,NEW YORK,75.5,5,1.0
THE CONSORTIUM INC,5,0,3,2021,MD,BETHESDA,75.5,5,1.0
BLOOM COMPANIES LLC,5,0,3,2023,WI,MILWAUKEE,75.5,5,1.0
ILLUMIFIN CORPORATION,13,0,2,2023,SC,GREENVILLE,75.5,13,1.0
GIGAIO NETWORKS INC,5,0,3,2022,CA,CARLSBAD,75.5,5,1.0
WISS JANNEY ELSTNER ASSOCIATES INC,5,0,3,2021,IL,NORTHBROOK,75.5,5,1.0
HP AND ASSOCIATES PC,5,0,3,2022,MI,FARMINGTON HILLS,75.5,5,1.0
FRANCONNECT LLC,5,0,3,2022,VA,HERNDON,75.5,5,1.0
NORTHPOINTE CHRISTIAN SCHOOLS,5,0,3,2022,MI,GRAND RAPIDS,75.5,5,1.0
ILLINOIS WESLEYAN UNIVERSITY,5,0,3,2023,IL,BLOOMINGTON,75.5,5,1.0
PANTERA CAPITAL MANAGEMENT LP,5,0,3,2022,CA,MENLO PARK,75.5,5,1.0
NORTHPOINTE BANK,5,0,3,2023,MI,GRAND RAPIDS,75.5,5,1.0
AXONICS MODULATION TECHNOLOGIES IN,5,0,3,2021,CA,IRVINE,75.5,5,1.0
NORTHERN NEVADA MEDICAL GROUP LLC,5,0,3,2021,NV,SPARKS,75.5,5,1.0
PIX4D INC,5,0,3,2022,CO,DENVER,75.5,5,1.0
NORTHERN INDIANA PUBLIC SERVICE CO,5,0,3,2021,IN,MERRILLVILLE,75.5,5,1.0
TERASAKI INSTITUTE FOR BIOMEDICAL INNOVATION,13,0,2,2023,CA,LOS ANGELES,75.5,13,1.0
ILLINOIS COLLEGE,10,1,4,2022,IL,JACKSONVILLE,75.5,11,0.909
FORT MYER CONSTRUCTION CORPORATION,5,0,3,2021,DC,WASHINGTON,75.5,5,1.0
THE LYCRA COMPANY LLC,5,0,3,2023,DE,WILMINGTON,75.5,5,1.0
TOTAL QUALITY LOGISTICS LLC,5,0,3,2023,OH,CINCINNATI,75.5,5,1.0
SIMPLESOLVE INC,5,0,3,2023,NJ,PENNINGTON,75.5,5,1.0
HOOD DESIGN STUDIO INC,5,0,3,2022,CA,OAKLAND,75.5,5,1.0
CHEWIE LABS INC,5,0,3,2023,CA,SAN BRUNO,75.5,5,1.0
COGITATIVO INC,5,0,3,2021,CA,BERKELEY,75.5,5,1.0
COVERMYMEDS LLC,5,0,3,2023,OH,HIGHLAND HILLS,75.5,5,1.0
K2 INTELLIGENCE LLC,5,0,3,2021,NY,NEW YORK,75.5,5,1.0
SKML LLC,5,0,3,2021,IL,NAPERVILLE,75.5,5,1.0
CENTER FOR APPLIED LINGUISTICS CAL,5,0,3,2023,DC,WASHINGTON,75.5,5,1.0
MACROSYS LLC,5,0,3,2022,VA,ARLINGTON,75.5,5,1.0
CYBERNET SOLUTIONS INC,5,0,3,2022,WA,VANCOUVER,75.5,5,1.0
LINKSQUARES INC,5,0,3,2022,MA,BOSTON,75.5,5,1.0
CONTROL RISKS GROUP LLC,10,1,4,2022,DC,WASHINGTON,75.5,11,0.909
LA PAZ REGIONAL HOSPITAL INC,5,0,3,2023,AZ,PARKER,75.5,5,1.0
CENTER FOR CREATIVE LEADERSHIP,5,0,3,2023,NC,GREENSBORO,75.5,5,1.0
MASY SYSTEMS INC,5,0,3,2023,MA,PEPPERELL,75.5,5,1.0
SHAKLEE CORP,5,0,3,2021,CA,PLEASANTON,75.5,5,1.0
EYECARE PRO P A,5,0,3,2022,TX,SAN ANTONIO,75.5,5,1.0
LA JOYA INDEPENDENT SCHOOL,5,0,3,2021,TX,LA JOYA,75.5,5,1.0
SGI MATRIX LLC,5,0,3,2022,OH,MIAMISBURG,75.5,5,1.0
COGENT COMMUNICATIONS INC,5,0,3,2022,DC,WASHINGTON,75.5,5,1.0
SL ALABAMA LLC,5,0,3,2021,AL,ALEXANDER CITY,75.5,5,1.0
MATRIX STRUCTURAL ENGINEERS INC,5,0,3,2023,TX,HOUSTON,75.5,5,1.0
MASIMO AMERICAS INC,5,0,3,2023,CA,IRVINE,75.5,5,1.0
CLEARBLADE INC,5,0,3,2022,TX,AUSTIN,75.5,5,1.0
MILLE LACS CORPORATE VENTURES,5,0,3,2022,MN,ONAMIA,75.5,5,1.0
SGS AGENCY LLC,5,0,3,2021,NY,NEW YORK,75.5,5,1.0
CIBC NATIONAL TRUST COMPANY,5,0,3,2022,NY,NEW YORK,75.5,5,1.0
MUELLER WATER PRODUCTS INC,5,0,3,2022,GA,ATLANTA,75.5,5,1.0
LINDENWOOD RX CENTER INC,5,0,3,2022,NY,BROOKLYN,75.5,5,1.0
ZIRAS TECHNOLOGIES INC,10,1,4,2022,DE,NEWARK,75.5,11,0.909
DALLAS COUNTY HOSPITAL DISTRICT D/B/A PARKLAND HEALTH,13,0,2,2023,TX,DALLAS,75.5,13,1.0
EVONSYS INC,13,0,2,2023,DE,WILMINGTON,75.5,13,1.0
TRINETX INC,5,0,3,2021,MA,CAMBRIDGE,75.5,5,1.0
RESOURCE INFOSOFT INC,5,0,3,2023,SD,SIOUX FALLS,75.5,5,1.0
JOHNS HOPKINS UNIV,5,0,3,2022,MD,BALTIMORE,75.5,5,1.0
KIM AND LEE LLP,5,0,3,2022,CA,TORRANCE,75.5,5,1.0
DEOWORKS INC,5,0,3,2022,NY,DOVER PLAINS,75.5,5,1.0
MACKENZIE INVESTMENTS CORPORATION,5,0,3,2022,MA,BOSTON,75.5,5,1.0
UPWARD SYSTEMS INC,5,0,3,2023,TX,HOUSTON,75.5,5,1.0
SOMATUS INC,5,0,3,2023,VA,MC LEAN,75.5,5,1.0
DEQUE SYSTEMS INC,5,0,3,2023,VA,HERNDON,75.5,5,1.0
LOVEFOODIES INC,10,1,4,2023,CA,SAN JOSE,75.5,11,0.909
TRINITY TECH USA INC,5,0,3,2021,MI,OTTAWA LAKE,75.5,5,1.0
AANEEL INFOTECH LLC,5,0,3,2023,FL,LUTZ,75.5,5,1.0
